,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
18,0.15819053649902343,0.020525912726851586,0.0014000415802001953,0.0004900377176796412,0.1,"(20,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 7}",0.6989966555183943,0.8583792289535801,0.9110723626852659,0.9409722222222223,0.9110723626852659,0.8638134024407482,0.08688995865578515,571,0.7965601965601966,0.8364224137931027,0.898989898989898,0.8767541815545528,0.9570639950930286,0.8731581371981557,0.05465740997416905
19,0.14939093589782715,0.02696302161203795,0.0021997928619384766,0.0003989226790149809,0.1,"(20,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 8}",0.9722007722007721,0.9722007722007723,0.9110723626852658,0.9042502460185581,0.9386869584800884,0.9397650369602585,0.02895725212913467,161,0.9637204900362796,0.9485732754628375,0.9636681093160229,0.9392454775663203,0.9570639950930284,0.9544542694948976,0.00941766210691706
20,0.14259233474731445,0.03449214404505458,0.0028002262115478516,0.0026376791713690925,0.1,"(20,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 9}",0.9442724458204335,0.48615866614101266,0.8496905393457118,0.9087975082508932,0.9110723626852659,0.8199259009210198,0.16981866299465526,691,0.904953642384106,0.4536982374643637,0.920940500025668,0.861739175632827,0.9857113696672791,0.8254085850348487,0.19007327008056119
21,0.11339449882507324,0.014649536061661562,0.0017993927001953125,0.0007485324097752964,0.1,"(20,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 10}",0.9653577338220423,1.0,0.9931189402747161,1.0,1.0,0.9916576688288475,0.013464574286477432,13,0.9893131014086054,0.9977090372314252,0.9922840721016356,1.0,1.0,0.9958612421483333,0.004320816415189141
22,0.15879054069519044,0.016288425974440565,0.0018004894256591797,0.00040028178675446057,0.1,"(20,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 11}",0.9653577338220423,0.9885306017225141,0.9318341267304011,0.9659801141951913,0.880701754385965,0.9465486110531012,0.03751990993497163,127,0.9512896698790049,0.9445754535400535,0.9562338151232078,0.9424501944138594,0.9651111516135131,0.9519320569139277,0.008205262354916958
23,0.16199102401733398,0.02119350017278411,0.0019999027252197267,1.0598235497900422e-06,0.1,"(20,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 12}",0.8285714285714284,0.7662337662337664,0.9065234937751937,0.750915750915751,0.6780303030303034,0.7861103065510108,0.07688804755233039,758,0.8519630980476294,0.8519630980476287,0.7660748173613452,0.7824812776201947,0.8138893648997633,0.8132743311953122,0.03512840981942215
24,0.13359155654907226,0.00665080069388617,0.0024003505706787108,0.001496223532918229,0.1,"(20,)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 13}",0.9160839160839159,0.9442724458204335,0.9977064099529183,0.9591071786071591,0.963689068200963,0.9560936414807766,0.026623608955071165,65,0.970417217611827,0.9698456457251385,0.9702607266831809,0.9447342154524293,0.953062857424735,0.9616641325794621,0.010752293832818218
25,0.16359009742736816,0.017793151445507423,0.0017998218536376953,0.0003999471771024199,0.1,"(20,)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 14}",0.7870047788599378,0.913807021301132,0.9341179834048188,0.880701754385965,0.9065234937751937,0.8842905339854645,0.05172195889604571,461,0.8704014721091679,0.9078361920585346,0.9325963057077252,0.9023629500427885,0.9270656785401644,0.9080525196916762,0.02197233272046535
26,0.10624923706054687,0.01917432077198009,0.0024006843566894533,0.0008004669422487906,0.1,"(30,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'rp__n_components': 2}",0.856143479390566,0.8561332267406464,0.3333333333333338,0.6739643078613257,0.3333333333333338,0.6112068974027464,0.2359677114079499,865,0.8110360519358061,0.8347517830144359,0.3333333333333264,0.8059997077099011,0.3333333333333264,0.6236908418653592,0.237274708598475
27,0.058508682250976565,0.004174763673704104,0.0013999462127685547,0.0011999368703131546,0.1,"(30,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'rp__n_components': 3}",0.8583792289535797,0.8875000000000002,0.9705627705627704,0.8156428753824569,0.9682713241695504,0.899989783734271,0.06101250199872269,370,0.9038174252690715,0.8963625683738424,0.8830720491238255,0.9130829073634947,0.8836368985319294,0.8959943697324327,0.011602132139568108
28,0.07430734634399414,0.01599451089040867,0.0017997264862060548,0.0004000196156779289,0.1,"(30,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'rp__n_components': 4}",0.7979149959903767,0.8583792289535801,0.9110723626852658,0.9087975082508932,0.8156428753824569,0.8582587839283861,0.04648514725285131,588,0.8585349111348306,0.8431018287862956,0.8541666666666642,0.8459884135709153,0.8611776306275207,0.8525938901572452,0.007002592472337127
