,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
473,0.41685009002685547,0.007728917686226581,0.10479326248168945,0.0016006472070405604,0.01,"(40, 10)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 7}",1.0,0.9115309174212105,0.9908249158249157,1.0,0.9659801141951913,0.9736591498863589,0.033493993174993825,164,0.9855042016806725,0.9748160070881462,0.9673997397304438,0.9745545437070304,0.9779891169038907,0.9760527218220367,0.005860515293145482
474,0.4092235565185547,0.0040660119578992725,0.10565276145935058,0.0018425505247807042,0.01,"(40, 10)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 8}",0.8874999999999998,0.8583792289535801,0.9409722222222223,0.6386473429951693,0.785004516711834,0.8222424934519635,0.10455357463412976,750,0.8596585130867633,0.8749133564382825,0.8541666666666642,0.8311572544701357,0.8692674828802641,0.8578326547084221,0.015171393290774918
475,0.41038055419921876,0.0345607738331504,0.10477113723754883,0.0015682400431791513,0.01,"(40, 10)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 9}",0.9160839160839159,0.828571428571429,1.0,0.7111637982872505,0.7153488372093025,0.8343677543263457,0.11259220720676533,719,0.9123809523809525,0.9271537162162158,0.9570639950930286,0.6642809868262832,0.6415362731152151,0.8204831847263391,0.13776737171959355
476,0.41188502311706543,0.02115675416353625,0.10479340553283692,0.0016001006659293229,0.01,"(40, 10)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 10}",0.9442724458204335,0.9160839160839163,1.0,1.0,0.880701754385965,0.9481776622546254,0.04678874336160108,331,1.0,0.9418335089567962,0.9714052287581701,0.9282051282051278,0.9547774875107862,0.959244270686176,0.024881452992228915
477,0.3895763397216797,0.0483039752520419,0.10639381408691406,0.0019590411315252724,0.01,"(40, 10)",11,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 11}",0.9442724458204335,0.5418181818181819,0.6288602180678607,0.9409722222222223,0.671934565831559,0.7457359142675039,0.16636229841934375,827,0.9491445117136089,0.5125460546361333,0.570832619200237,0.9282051282051278,0.6038694209762426,0.7129195469462699,0.18675131962491745
478,0.44640178680419923,0.032832862424109086,0.10719399452209473,0.0016151103871025422,0.01,"(40, 10)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 12}",0.9722007722007721,0.8583792289535801,0.9409722222222223,0.9409722222222223,0.8496905393457119,0.9124985587736117,0.049135689189571445,506,0.9855042016806723,0.919780161707974,0.8155467720685077,0.9928567784070619,0.8617391756328269,0.9150854178994084,0.0689680996137869
479,0.43719305992126467,0.014588708038220056,0.10739054679870605,0.0014021112047993907,0.01,"(40, 10)",13,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 13}",0.9160839160839159,1.0,0.9110723626852659,0.9409722222222223,0.8496905393457119,0.9236159951709593,0.048600329684817416,466,0.9782505910165485,0.9927532426613453,0.8916129032258051,0.9498746867167922,0.9282051282051278,0.9481393103651238,0.036035288346149136
480,0.4635905742645264,0.03757530426578328,0.10638108253479003,0.001961735472304605,0.01,"(40, 10)",14,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 10), 'filter__n': 14}",0.9722007722007721,0.8875000000000005,0.9705627705627704,0.596837944664032,0.9705627705627704,0.879696945816751,0.14487608144746827,633,0.9782505910165485,0.9049536423841055,0.8617391756328264,0.8155467720685085,0.9498746867167922,0.9020729735637563,0.05866844166113657
481,0.3744083881378174,0.007844352396369237,0.10639338493347168,0.001959566872746081,0.01,"(40, 20)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 20), 'filter__n': 2}",0.9722007722007721,0.9722007722007724,0.9705627705627704,0.9705627705627704,1.0,0.9770929264986989,0.011458756972578019,148,0.9782505910165485,0.9782505910165482,0.9785615844010006,0.9785615844010006,0.97140522875817,0.9770059159186536,0.0028037952037258305
482,0.3777036190032959,0.01941320567815781,0.10579209327697754,0.0018333962823710301,0.01,"(40, 20)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (40, 20), 'filter__n': 3}",0.9722007722007721,0.9442724458204336,1.0,1.0,0.8496905393457119,0.9532573488721966,0.05567628173388207,301,0.9782505910165485,1.0,0.9857113696672795,0.9857113696672795,0.8989898989898976,0.969732645868201,0.03606617135231343
