func,time,avg_reward
fl_ql_15x15_0.75_0.75_d3,570.6263904571533,-65.78880000000055
fl_ql_15x15_0.75_0.99_d1,2167.5216302871704,-100.54160000000151
fl_ql_15x15_0.75_0.99_d3,739.1350657939911,-108.85640000000238
fl_ql_15x15_0.9_0.01_d1,123.04034757614136,-6.978399999999953
fl_ql_15x15_0.9_0.01_d3,74.29003930091858,-14.940799999999848
fl_ql_15x15_0.9_0.25_d1,157.68504166603088,-4.430399999999966
fl_ql_15x15_0.9_0.25_d3,203.76299452781677,-16.591599999999783
fl_ql_15x15_0.9_0.5_d1,190.33402252197266,-6.936399999999918
fl_ql_15x15_0.9_0.5_d3,261.36911964416504,-25.91079999999978
fl_ql_15x15_0.9_0.75_d1,254.57302260398865,-14.037599999999793
fl_ql_15x15_0.9_0.75_d3,368.25161957740784,-23.269599999999784
fl_ql_15x15_0.9_0.99_d1,5161.168996095657,-400.00000000005764
fl_ql_15x15_0.9_0.99_d3,853.2559049129486,-200.81920000001423
fl_ql_15x15_0.95_0.01_d1,63.85267114639282,-5.616399999999986
fl_ql_15x15_0.95_0.01_d3,41.489808559417725,-6.454799999999974
fl_ql_15x15_0.95_0.25_d1,92.54302644729614,-2.369599999999997
fl_ql_15x15_0.95_0.25_d3,75.8902153968811,-4.367599999999983
fl_ql_15x15_0.95_0.5_d1,103.4947419166565,-2.3071999999999955
fl_ql_15x15_0.95_0.5_d3,111.00826001167297,-10.44199999999987
fl_ql_15x15_0.95_0.75_d1,128.47968435287476,-3.093599999999986
fl_ql_15x15_0.95_0.75_d3,153.68417739868164,-11.405599999999836
fl_ql_15x15_0.95_0.99_d1,4040.2476851940155,-397.868000000057
fl_ql_15x15_0.95_0.99_d3,538.7963719367981,-66.96200000000066
fl_ql_15x15_0.99_0.01_d1,23.244704008102417,-2.0711999999999957
fl_ql_15x15_0.99_0.01_d3,21.794728994369507,-2.3819999999999992
fl_ql_15x15_0.99_0.25_d1,8.524781465530396,-1.4027999999999992
fl_ql_15x15_0.99_0.25_d3,12.289677381515503,-1.4439999999999995
fl_ql_15x15_0.99_0.5_d1,7.708109378814697,-1.3359999999999996
fl_ql_15x15_0.99_0.5_d3,11.75691533088684,-1.3936
fl_ql_15x15_0.99_0.75_d1,7.686307668685913,-1.3711999999999995
fl_ql_15x15_0.99_0.75_d3,12.09361481666565,-1.6087999999999996
fl_ql_15x15_0.99_0.99_d1,8.472026348114014,-1.4428000000000005
fl_ql_15x15_0.99_0.99_d3,12.350567817687988,-1.386
