,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
18,0.11779274940490722,0.022389637146048667,0.004599666595458985,0.005199742326765179,0.1,"(20,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 7}",0.9885699356650663,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.6642516474314633,0.5308411474428303,0.2626518846729879,280,0.9813421464459267,0.33205558217537545,0.33333333333332926,0.3333333333333294,0.6461947538304802,0.5252518298236881,0.2583159989158683
19,0.16179070472717286,0.029699758115837856,0.003598642349243164,0.0027279072850208376,0.1,"(20,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 8}",0.33333333333333487,0.7227938741990562,0.9196337075537919,1.0,0.928205128205128,0.7802566277561559,0.24211595249260978,69,0.33333333333333753,0.8001589494286774,0.7693018409935506,0.9910707167344338,0.964240102171137,0.7716209885322273,0.2358712227060503
20,0.14979138374328613,0.037261517035268345,0.0019993305206298826,8.313939940530154e-07,0.1,"(20,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 9}",0.33333333333333487,0.7227938741990562,0.3333333333333332,1.0,0.8155467720685112,0.6407616794471004,0.2665102478378734,153,0.33333333333333753,0.8100146202219314,0.33333333333332926,1.0,0.8916129032258073,0.6736588380228812,0.28433723856103094
21,0.18938865661621093,0.03294465472186918,0.002599954605102539,0.0004903690028428545,0.1,"(20,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 10}",0.33333333333333487,0.9885699356650663,0.40482762167263747,1.0,1.0,0.745166996512902,0.3081459769742367,83,0.33333333333333753,0.9942609300669215,0.3692520038595913,1.0,0.9731950538492224,0.7340082642218146,0.3128197256024507
22,0.3475788116455078,0.08165957743214129,0.0028000831604003905,0.00040011447144533635,0.1,"(20,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 15}",0.9282051282051281,0.7333333333333335,0.9642401021711365,0.8802674985760587,0.3333333333333332,0.768009410655954,0.2308647426002222,75,0.8916129032258061,0.6536796536796564,0.9620940111800258,0.8817129040179075,0.6165765765765749,0.8011352097359941,0.1388464934255683
23,0.41162867546081544,0.11644064949045448,0.0032000064849853514,0.0003999713209621242,0.1,"(20,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 20}",0.32950191570881376,0.8541666666666663,0.4749999999999998,0.3333333333333332,0.3333333333333332,0.46533619469458487,0.20250879167952862,336,0.3262445625906271,0.7617044334232679,0.6291722595078278,0.3333333333333294,0.3333333333333294,0.4767575844376764,0.18342308539481786
24,0.4444908618927002,0.07276492829694131,0.003970003128051758,5.857971173490762e-05,0.1,"(20,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 25}",0.33333333333333487,0.33333333333333465,0.925347012050204,0.3333333333333332,0.3333333333333332,0.45148468322587276,0.23661672344493498,380,0.33333333333333753,0.40813008130081685,0.7224643253866525,0.3333333333333294,0.3333333333333294,0.42611888133749315,0.1509779407004549
25,0.6517772674560547,0.20918332383675586,0.004800128936767578,0.0011665966074744269,0.1,"(20,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 30}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
26,0.06077003479003906,0.005440482634993971,0.001799774169921875,0.0013258925772461805,0.1,"(30,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 2}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
27,0.06399693489074706,0.013504865061603439,0.001599597930908203,0.0004895318907233172,0.1,"(30,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 3}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
28,0.07459530830383301,0.014554049451896657,0.0018000125885009766,0.000400519722295126,0.1,"(30,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 4}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
29,0.12797212600708008,0.011109362778121055,0.002399778366088867,0.0019594108328299157,0.1,"(30,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 5}",0.33333333333333487,0.9642401021711364,0.9196337075537919,1.0,0.3333333333333332,0.7099779012708329,0.30871491070787477,111,0.33333333333333753,0.9008291073009738,0.8163232492717464,1.0,0.3333333333333294,0.6767638046478774,0.2863748290884245
30,0.14624571800231934,0.030865536058451753,0.0020001411437988283,0.0012648949869079244,0.1,"(30,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 6}",0.7306937407487109,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.4130585106173105,0.15913367033366227,416,0.81769645062782,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.4302059567922291,0.19374524691779546
