,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
690,0.1462319850921631,0.013848068911130528,0.002200031280517578,0.0016000393914056491,0.0001,"(20, 20)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 2}",0.1055809306789546,0.10252953522656295,0.10099072965336173,0.1367709681359397,0.11509987031999601,0.1121556186186246,0.013225397247201814,691,0.10878262424142413,0.1090568975821091,0.10693514737708658,0.12569808656827217,0.14479650109188608,0.1190538513721556,0.014554243740610881
691,0.17625584602355956,0.03249462656649253,0.0009999752044677734,0.0008944157553645571,0.0001,"(20, 20)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 3}",0.11267770709100985,0.11287951503254125,0.11580937001903482,0.115931687048158,0.10851023673346441,0.11316985516547132,0.002698415572308772,679,0.11652306124537407,0.11210684291677034,0.1161085691931565,0.11574492324457875,0.11755686033870827,0.11560805138771757,0.001852717577120955
692,0.1728003978729248,0.03649087263960688,0.0015994071960449218,0.0019588658534821367,0.0001,"(20, 20)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 4}",0.11424899739338024,0.1137527915805594,0.11393755446497078,0.10791385391590858,0.10836805327082152,0.11165854768028916,0.002865871431355552,701,0.120528258997766,0.10919915636600108,0.11631563181867578,0.11300734655970644,0.11171273191167372,0.1141526251307646,0.003927566673333048
693,0.1674722194671631,0.026202719534306036,0.0007995128631591797,0.0015990257263183594,0.0001,"(20, 20)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 5}",0.11815692298490146,0.12325614481273504,0.10759775818489958,0.11461775957669051,0.11299425109701154,0.11533901309775185,0.005234313439408158,649,0.11967923975141911,0.12287800046666518,0.1251008552897885,0.11665263825258114,0.11495210919573866,0.11985256859123852,0.0037678070717312574
694,0.15919232368469238,0.018136499485644123,0.001600170135498047,0.001959800190008978,0.0001,"(20, 20)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 6}",0.11043211888722822,0.11717657182178606,0.12075906738231341,0.1194477126421346,0.11121730007401182,0.11581134460450565,0.004232483373479849,633,0.11768924630798515,0.11526273218063705,0.11774912830595449,0.11601541948186062,0.11839353495675621,0.1170220122466387,0.0011801075328492935
695,0.36779584884643557,0.1508169590468025,0.0023998737335205076,0.001959488723219155,0.0001,"(20, 20)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 7}",0.11123031498423692,0.1579483536798075,0.18283829892603892,0.15722299117332697,0.11429692118372073,0.14475313472645157,0.027680424926880543,305,0.11474607702551827,0.17910834067221146,0.19138444426683882,0.2020721883579776,0.11483267182547588,0.1604287444296044,0.03796647739385009
696,0.26923470497131347,0.07534661684252293,0.0015995502471923828,0.001959041079296581,0.0001,"(20, 20)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 8}",0.15833593886263578,0.10893816793447055,0.09764992784805238,0.12775434781272824,0.14013274755812663,0.12654050923349722,0.02167181414790834,533,0.18465816268724156,0.10862757755337721,0.0977968030170832,0.16674678996233683,0.15436037328073007,0.14243794130015378,0.033620183002133305
697,0.27747421264648436,0.04480932200984131,0.0020001411437988283,0.001789044833754498,0.0001,"(20, 20)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 9}",0.17316507436811995,0.14607631337005364,0.19964474325568263,0.13646166065048154,0.1896042680806449,0.16895281237280227,0.02434276486683566,67,0.1901204640070917,0.15947886644656084,0.18504851333350394,0.15540525284603007,0.17907367078953712,0.17382535348454473,0.01388637156592925
698,0.22864537239074706,0.05417452404473974,0.0020381450653076173,0.001790507843517776,0.0001,"(20, 20)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 10}",0.11946707834722471,0.14265355368526816,0.13953299492368626,0.10262114955380136,0.13007094734787447,0.12688716114870574,0.01458051919118345,523,0.12017281617052429,0.13015446686205934,0.13300761622199303,0.11218420063923513,0.13606216244440636,0.1263162524676436,0.008853764152305744
699,0.28618521690368653,0.11007508673487594,0.0016002178192138672,0.0019598585686418086,0.0001,"(20, 20)",11,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 11}",0.12434562881886492,0.16256455518301155,0.17646324949711947,0.14934324881680128,0.09608356999425072,0.1418639912492759,0.028526311334094726,337,0.11851512662977363,0.19240039875129844,0.20308382345438036,0.1646297680829657,0.10692116323371861,0.15711005603042733,0.03853319396432722
700,0.16684579849243164,0.03765525007036256,0.0008006095886230469,0.0016012191772460938,0.0001,"(20, 30)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 2}",0.10875639825302763,0.11739772678785255,0.10430463319649237,0.10320028087335778,0.1046961494085403,0.10768997938722628,0.005222268570409673,760,0.11004952616084446,0.10685208735422526,0.10812408092911535,0.10635897322491704,0.10712981460921828,0.10770289645566407,0.0013070957052847966
701,0.23968892097473143,0.08483209251297023,0.002043342590332031,0.0017905534698583706,0.0001,"(20, 30)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 3}",0.10880368398209558,0.16952246626725648,0.09909234727599797,0.17744163481723116,0.17273972392665246,0.14542114909904225,0.03418646675715712,295,0.11258802700429232,0.1690412321645508,0.1315392549183786,0.1696850741813457,0.16757439720501266,0.15008559709471603,0.023661565049996225
702,0.22633447647094726,0.0716940606051711,0.0010043621063232423,0.0012719577129574448,0.0001,"(20, 30)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 4}",0.15245956709697842,0.16505311950567308,0.1083612289677602,0.1286442617639208,0.15019036477951686,0.14095749930488702,0.020082925265110445,358,0.15526080263883268,0.16222488545750885,0.1123468645854046,0.15112214230318008,0.14594383805773647,0.14537970660853256,0.01735429960175911
703,0.23624510765075685,0.06143528024472844,0.0020004749298095704,0.0017889382396069308,0.0001,"(20, 30)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 5}",0.1616945236251195,0.17740243365315297,0.12760219105725298,0.1448128839665105,0.12569056516849111,0.1475282295228961,0.019880625275787784,274,0.1668913595102074,0.17630911596795532,0.13745719961724734,0.17346825696992066,0.14517958899295397,0.15986110421165695,0.015637122604093535
704,0.24451231956481934,0.06247434133687665,0.0009997367858886718,0.0015487117005764939,0.0001,"(20, 30)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 6}",0.1445816120332747,0.17128928293056636,0.10348693369793585,0.12287272241861832,0.09904645922865518,0.12837462710013783,0.02689913969800149,507,0.1485508588128231,0.1809196379586851,0.10505484271370716,0.14483888658295,0.10138153528050929,0.13614915226973492,0.029696307764822235
705,0.2699750900268555,0.031223393327734317,0.002400493621826172,0.0019599949294991617,0.0001,"(20, 30)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 7}",0.17109863631836525,0.16559651964644542,0.16133589210867438,0.1493049481607858,0.14638608250903257,0.15879584046835885,0.009459952343660467,149,0.1671438659792406,0.1652010944244301,0.15905971878507763,0.1738149319914589,0.14579789641756258,0.16220350151955396,0.009457751640488963
706,0.20003466606140136,0.033639500743682764,0.0019992828369140626,0.0017880853174313243,0.0001,"(20, 30)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 8}",0.1482005075330534,0.16890737112001492,0.1246270081540926,0.16063639967047935,0.10021206760948845,0.14062376676248753,0.02503765431804862,364,0.165825249836516,0.17236008160734678,0.11905544357590239,0.1784361993543539,0.11299263623286085,0.14973392212139597,0.027877538534404455
707,0.23685297966003419,0.07403081784244274,0.0017996788024902343,0.001832590481048797,0.0001,"(20, 30)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 30), 'pca__n_components': 9}",0.19008375623393642,0.17057952360359074,0.12819893028310705,0.1145702190411425,0.10270331036641217,0.14139963415407944,0.033508471113159494,350,0.18067204567938291,0.18450023687651818,0.12218430104615617,0.1053595120837801,0.11075851475390498,0.14069492208794848,0.034654000605863114
